"","data3.DspProbCodeDescription","data3.PrimaryProbDescription","Freq"
"1","","",118
"2","Abdominal Pain NYD","",3
"3","Abdominal Trauma","",0
"4","Airway Trauma","",0
"5","Alcohol Intoxication","",0
"6","Altered LOC","",2
"7","Anaphylaxis","",2
"8","Back Pain","",2
"9","Behaviour/Psychiatric","",2
"10","Cardiac Trauma","",0
"11","Cardiac/Medical Arrest","",4
"12","Chest Trauma","",0
"13","CHF","",0
"14","Confusion/Disorientation","",1
"15","Convalescent/Invalid/Return Home","",2
"16","Diabetic Emergency","",8
"17","Drug Overdose","",1
"18","Exposure","",0
"19","General Illness/Weakness","",7
"20","GI Problems/Pain/Vomiting/Nausea","",2
"21","GU Problem/Pain","",0
"22","Gynecological Emergency","",0
"23","Head/Brain Trauma","",0
"24","Headache","",0
"25","Hemorrhage Minor","",2
"26","Hemorrhage/Hypovolemia Major","",0
"27","Hypotension Non-Traumatic","",2
"28","Inhalation Injury","",0
"29","Ischemic Chest Pain","",26
"30","Lift Assist (Dispatch Only)","",1
"31","Local Allergic Reaction","",0
"32","Musk/Skel Trauma","",6
"33","MVC (Dispatch Only)","",15
"34","Myocardial Infarction(Dx)","",2
"35","Newborn/Neonatal","",0
"36","Obstetrical Emergency","",1
"37","Obstruc./Anatomical/Med/Other","",0
"38","Obstruc./Foreign Body","",0
"39","Organ Donor","",0
"40","Organ Retrieval","",0
"41","Other Cardiac","",4
"42","Other Medical/Trauma","",19
"43","Palpitations","",2
"44","Paralysis/Spinal Trauma","",0
"45","Poisoning/Toxic Exposure","",0
"46","Resp. Arrest","",0
"47","Resp. Disease","",3
"48","Resp. Distress","",38
"49","Seizure/Post Ictal","",4
"50","Sepsis (Prev. Dx)","",0
"51","Stroke/TIA","",3
"52","Syncope","",3
"53","Trauma Unknown (Dispatch Only)","",5
"54","Traumatic Arrest","",0
"55","Treatment - Diagnostic/Return","",0
"56","Unconscious","",5
"57","Unknown (Dispatch Only)","",2
"58","","Abdominal Pain NYD",65
"59","Abdominal Pain NYD","Abdominal Pain NYD",201
"60","Abdominal Trauma","Abdominal Pain NYD",0
"61","Airway Trauma","Abdominal Pain NYD",0
