"","Var1","Freq"
"1","",297
"2","Abdominal Pain NYD",348
"3","Alcohol Intoxication",60
"4","Altered LOC",128
"5","Anaphylaxis",36
"6","Back Pain",41
"7","Behaviour/Psychiatric",44
"8","Cardiac Trauma",3
"9","Cardiac/Medical Arrest",129
"10","Cardiogenic Shock",3
"11","Chest Trauma",4
"12","CHF",46
"13","Confusion/Disorientation",59
"14","Convalescent/Invalid/Return Home",1
"15","Diabetic Emergency",403
"16","Drowning",1
"17","Drug Overdose",117
"18","Exposure",15
"19","General Illness/Weakness",467
"20","GI Problems/Pain/Vomiting/Nausea",224
"21","GU Problem/Pain",17
"22","Gynecological Emergency",14
"23","Head/Brain Trauma",28
"24","Headache",49
"25","Hemorrhage Minor",47
"26","Hemorrhage/Hypovolemia Major",28
"27","Hypotension Non-Traumatic",97
"28","Infectious Disease",3
"29","Inhalation Injury",1
"30","Ischemic Chest Pain",1774
"31","Local Allergic Reaction",19
"32","Musk/Skel Trauma",257
"33","Myocardial Infarction(Dx)",17
"34","Near Drowning",1
"35","Newborn/Neonatal",2
"36","Obstetrical Emergency",45
"37","Obstruc./Anatomical/Med/Other",2
"38","Obstruc./Foreign Body",5
"39","Organ Recipient",2
"40","Organ Retrieval",1
"41","Other Cardiac",183
"42","Other Medical/Trauma",1031
"43","Palpitations",60
"44","Paralysis/Spinal Trauma",2
"45","Poisoning/Toxic Exposure",9
"46","Resp. Arrest",5
"47","Resp. Disease",195
"48","Resp. Distress",1101
"49","Seizure/Post Ictal",305
"50","Stroke/TIA",181
"51","Syncope",257
"52","Traumatic Arrest",10
"53","Treatment - Diagnostic/Return",26
"54","Unconscious",100
